ID,mean-1,mean-2,mean-3,mean-4,mean-5,variance-1,variance-2,variance-3,variance-4,variance-5,skewness-1,skewness-2,skewness-3,skewness-4,skewness-5,kurt-1,kurt-2,kurt-3,kurt-4,kurt-5,contrast-1,contrast-2,contrast-3,contrast-4,contrast-5,homogeneity-1,homogeneity-2,homogeneity-3,homogeneity-4,homogeneity-5,energy-1,energy-2,energy-3,energy-4,energy-5,correlation-1,correlation-2,correlation-3,correlation-4,correlation-5,asm-1,asm-2,asm-3,asm-4,asm-5,entropy_val-1,entropy_val-2,entropy_val-3,entropy_val-4,entropy_val-5,surface,H2 ,CO2
11766,13.4319625,9.856965808,13.02978041,10.02851649,12.9758613,1505.622604,1135.288358,1466.380118,1179.516966,1539.583769,3.248501266,3.977604184,3.36598247,3.965150465,3.495022587,10.59094571,16.44766926,11.54991743,16.3108945,12.37238973,200.19899,300.2674481,200.0162606,272.7839506,376.329538,0.787356493,0.825133422,0.790901136,0.827068027,0.791485315,0.719663209,0.759649979,0.709539911,0.76516507,0.71603623,0.933614045,0.867970568,0.931902615,0.884552975,0.877974195,0.517915134,0.577068091,0.503446885,0.585477585,0.512707883,10.31468922,10.39913291,10.28495348,10.38878454,10.22149135,1897.46,108.7334162,0.936323784
11767,10.88017056,7.430814189,9.365205357,9.568860035,7.556420638,1169.507121,788.4411858,948.5458572,954.7976879,807.7171185,3.845331581,4.634700476,3.948804274,3.784850025,4.53815469,15.74244508,23.38757015,16.81949827,15.23237637,22.23996991,362.6422704,291.4304394,179.9828936,185.3826455,262.2157632,0.785824893,0.837976556,0.814423615,0.809210574,0.839403647,0.699523279,0.772004572,0.741504049,0.746397647,0.779780987,0.845187159,0.815459485,0.905281907,0.903075855,0.837915865,0.489332817,0.595991059,0.549828255,0.557109447,0.608058388,10.22413992,10.23012004,10.0609665,10.08751992,10.22462706,1297.85,175.9211835,0.708681931
11768,14.82827819,9.877608737,9.93279129,14.03456085,11.1699365,1519.651504,1100.209814,1079.773247,1457.714334,1281.578745,2.747649799,3.700124467,3.713737357,2.936565644,3.621365722,6.685432852,13.44487196,13.65434052,8.012485227,13.08515387,248.3740616,224.7394915,253.0276495,235.2992749,320.2081403,0.755465987,0.835214743,0.826275976,0.763292038,0.817762136,0.677969116,0.772617143,0.747088793,0.673793225,0.747220559,0.918453083,0.898000634,0.882953065,0.919460769,0.875221328,0.459642123,0.596937249,0.558141664,0.45399731,0.558338564,10.15220707,10.23278809,10.25063336,10.13088161,10.36203113,1665.52,125.6484024,1.771054226
11769,10.53944019,13.6656118,13.86356027,14.37208642,10.54561703,1125.103014,1491.561217,1393.925169,1465.569333,1122.620623,3.673454046,3.247392126,3.031395818,2.953059514,3.616654232,14.03295296,10.77513891,9.300664188,8.69136616,13.48038624,294.7496008,369.0042019,206.9300843,213.4227255,269.9103657,0.812631203,0.776976774,0.764234301,0.761639197,0.814158821,0.740478947,0.694293563,0.681759398,0.690351102,0.750542935,0.869220385,0.876493582,0.925882797,0.927295452,0.879976592,0.548309071,0.482043552,0.464795877,0.476584644,0.563314697,10.49560231,10.31398258,10.38366854,10.40495791,10.48631671,1936.68,100.0774007,0.962877756
11770,13.06342712,18.94971726,13.24927685,14.32793885,18.98057044,1515.451092,2174.688667,1562.67079,1736.699787,2130.102633,3.379260618,2.688508471,3.345335128,3.287259643,2.616395942,11.51091223,6.806353951,11.22153305,10.74826575,6.402243382,305.4238003,286.509826,273.1203787,334.0777089,287.6941948,0.802419724,0.732475932,0.802661862,0.799901725,0.731928662,0.729528989,0.653865062,0.734455912,0.728613702,0.666619392,0.899371875,0.934236095,0.912734116,0.903952728,0.932581184,0.532212546,0.427539519,0.539425487,0.530877927,0.444381413,10.56298011,10.4131638,10.55107178,10.37759639,10.42026346,1990.94,97.14099178,1.850185759
11771,16.48886462,10.35611148,10.18474346,20.34175347,16.20534232,1733.076237,1149.492605,1106.323746,2204.13034,1673.359046,2.857332208,3.851697478,3.926927816,2.577147093,2.920473694,8.098983562,15.70167622,16.59803997,6.360601827,8.653043217,351.1828688,349.4275086,303.3649003,545.5587596,359.2983938,0.736898363,0.80529981,0.805440239,0.713785167,0.730162726,0.630743328,0.741231774,0.742474685,0.654338212,0.62025484,0.898797421,0.848295593,0.86315429,0.876451964,0.892769303,0.397837146,0.549424542,0.551268658,0.428158496,0.384716067,10.45394711,10.52396374,10.54139918,10.15159932,10.4585516,1347.36,185.3702183,0.726879309
11772,11.49944513,16.17859687,17.45360158,11.52483032,11.71973275,1382.461376,1815.194009,1971.854385,1315.399871,1369.970333,3.747731023,2.951263578,2.787999079,3.606452584,3.594976504,14.45128045,8.631999516,7.453404703,13.38188252,13.2523158,367.1541483,281.462606,325.4598462,323.9680101,301.5474397,0.818622381,0.742475976,0.733433449,0.804927107,0.810121394,0.747056452,0.671017404,0.672329921,0.738309408,0.757512485,0.867386982,0.922630408,0.917645822,0.877019124,0.890089936,0.558093342,0.450264356,0.452027523,0.545100781,0.573825165,10.33680717,10.19193129,10.2185901,10.33968348,10.32072018,1576.96,168.510898,1.216167469
11773,9.844458276,14.54826632,14.58259569,10.13188959,9.227160395,1147.441599,1609.728818,1634.891952,1205.240018,1135.427913,4.095793542,3.086997908,3.18614796,3.965342904,4.355832727,17.65915797,9.542974731,10.2325591,16.35421686,19.94535989,301.2922756,360.1508331,379.5575233,280.6542125,363.0868479,0.829909794,0.756983306,0.75096214,0.830454269,0.841396788,0.752263601,0.698404625,0.682882975,0.772345899,0.7762714,0.868876735,0.888445871,0.884258872,0.883715663,0.840313471,0.565900525,0.48776902,0.466329158,0.596518187,0.602597286,10.01317099,9.83641701,9.825389562,9.990716245,10.24160322,1338.52,221.8047081,1.023179538
11774,7.632671945,7.101520041,6.537855885,11.41091332,6.643318447,817.3386575,762.2487529,722.1079032,1293.94687,730.3703376,4.322539632,4.622492028,4.851259628,3.706030636,4.814547009,19.83047293,23.17072392,25.1463654,14.22789922,24.77914444,138.9066078,115.0860288,266.9279205,359.0336818,303.6769778,0.854884807,0.861290557,0.864784472,0.798056754,0.861614385,0.809956134,0.803272753,0.816851345,0.72422343,0.807015252,0.915138706,0.92460952,0.815543469,0.861529099,0.792522042,0.656028938,0.645247116,0.667246119,0.524499577,0.651273617,9.917509193,9.887420454,10.03862088,9.872257465,10.05416826,1786.84,148.7080584,0.839851044
11775,9.545153356,10.32857129,7.36174905,7.345598323,9.009167514,1033.537564,1122.350183,831.7763997,821.5721586,1075.433294,3.954296866,3.691288228,4.586518726,4.646166163,4.33646329,16.59051522,14.114484,22.37043514,23.07658909,19.84301448,206.8095618,228.3232238,230.9619416,258.743556,349.0982118,0.81836118,0.815106683,0.864669613,0.862126015,0.839777147,0.751889766,0.760307523,0.813894132,0.803573366,0.773157212,0.900142329,0.89848066,0.861361529,0.842755978,0.837923242,0.565338221,0.578067529,0.662423659,0.645730155,0.597772074,9.922065877,9.949305274,10.06760336,10.07704665,10.10662416,1182.9,234.8293889,0.856355512
