Number,mean-1,mean-2,mean-3,mean-4,mean-5,mean-average,mean-max,mean-min,mean-diff,skewness-1,skewness-2,skewness-3,skewness-4,skewness-5,skewness-average,skewness-max,skewness-min,skewness-diff,kurt-1,kurt-2,kurt-3,kurt-4,kurt-5,kurt-average,kurt-max,kurt-min,kurt-diff,homogeneity-1,homogeneity-2,homogeneity-3,homogeneity-4,homogeneity-5,homogeneity-average,homogeneity-max,homogeneity-min,homogeneity-diff,energy-1,energy-2,energy-3,energy-4,energy-5,energy-average,energy-max,energy-min,energy-diff,asm-1,asm-2,asm-3,asm-4,asm-5,asm-average,asm-max,asm-min,asm-diff,CO2_0.15,N2_0.85,CO2_0.015*100,N2_0.085*100,Working_Capacity,Selectivity
14234,7.251366726,8.968098237,10.1067304,7.402276469,9.804994824,8.432117958,10.1067304,7.251366726,2.855363674,4.776718577,4.308031633,3.705208218,4.575081262,3.940014525,4.261010843,4.776718577,3.705208218,1.071510359,24.70246801,19.61584204,14.39677328,22.25336324,16.4903745,19.49176421,24.70246801,14.39677328,10.30569473,0.84350109,0.819424824,0.776258617,0.842738892,0.779646699,0.812314024,0.84350109,0.776258617,0.067242473,0.759566262,0.742707053,0.698929583,0.77836145,0.696552846,0.735223439,0.77836145,0.696552846,0.081808604,0.576940907,0.551613766,0.488502562,0.605846547,0.485185868,0.54161793,0.605846547,0.485185868,0.120660679,0.107411309,0.21022975,0.4758183,1.459799,0.102653126,2.895232886
14235,14.74991508,14.33356199,15.11369681,11.50209961,11.24964193,13.92481837,15.11369681,11.50209961,3.6115972,2.960469072,3.197416156,2.861328624,3.49880282,3.607929987,3.225189332,3.607929987,2.861328624,0.746601363,8.34885484,10.01705601,7.650930192,12.04878713,13.08584541,10.23029472,13.08584541,7.650930192,5.434915218,0.723336898,0.749198551,0.724076883,0.776973885,0.775508695,0.749818982,0.776973885,0.723336898,0.053636987,0.622412803,0.659200789,0.637958706,0.695001155,0.682941938,0.659503078,0.695001155,0.622412803,0.072588352,0.387397698,0.43454568,0.40699131,0.483026605,0.466409691,0.435674197,0.483026605,0.387397698,0.095628907,0.306258861,0.19474907,0.8162485,1.1650367,0.298096376,8.911297387
14236,9.945453559,11.9529154,13.48921535,10.29238697,14.31345109,11.41999282,13.48921535,9.945453559,3.543761791,4.106752023,3.734815347,3.423041096,3.963670862,3.230905588,3.691836983,4.106752023,3.230905588,0.875846435,17.89528881,14.40961097,12.10096607,16.52777276,10.56690763,14.30010925,17.89528881,10.56690763,7.32838118,0.796719403,0.7715604,0.745175402,0.794139086,0.738826549,0.769284168,0.796719403,0.738826549,0.057892854,0.72083808,0.689745074,0.663952398,0.724550583,0.670404683,0.693898164,0.724550583,0.663952398,0.060598185,0.519607537,0.475748267,0.440832786,0.524973548,0.449442439,0.482120915,0.524973548,0.440832786,0.084140762,0.133482413,0.258147416,0.5759899,1.7149775,0.127722514,2.930110053
14237,7.73748546,8.600828125,7.38756417,10.51129728,9.25559375,8.559293759,10.51129728,7.38756417,3.12373311,4.514250953,4.239433778,4.709960563,3.908159622,3.882520052,4.250864994,4.709960563,3.882520052,0.827440511,21.63408681,19.44748439,23.87773375,15.93175902,15.76268895,19.33075058,23.87773375,15.76268895,8.1150448,0.833900547,0.82110689,0.83577628,0.794072951,0.813426134,0.81965656,0.83577628,0.794072951,0.041703329,0.777765984,0.746324001,0.76925445,0.714807603,0.756450425,0.752920493,0.777765984,0.714807603,0.062958381,0.604919925,0.556999514,0.591752409,0.510949909,0.572217246,0.567367801,0.604919925,0.510949909,0.093970016,0.131910977,0.288866862,0.639942,1.9740405,0.125511557,2.587681853
14238,13.4623981,10.50336277,12.27489202,10.39186613,13.74166101,11.65812976,13.4623981,10.39186613,3.07053197,2.913180748,3.458596427,3.463615418,3.497728286,2.758248971,3.21827397,3.497728286,2.758248971,0.739479315,8.157456779,11.99974791,12.54487284,12.29607023,6.962477205,10.39212499,12.54487284,6.962477205,5.582395635,0.707520096,0.765349724,0.76281014,0.775847564,0.709275864,0.744160678,0.775847564,0.707520096,0.068327468,0.592797392,0.654687006,0.67303905,0.682368249,0.610228049,0.642623949,0.682368249,0.592797392,0.089570857,0.351408748,0.428615076,0.452981563,0.465626427,0.372378272,0.414202017,0.465626427,0.351408748,0.114217679,0.107199635,0.177955191,0.4201922,1.1492003,0.102997713,3.413581784
14239,9.286830357,11.35462204,13.47384291,9.270337702,10.7221653,10.84640825,13.47384291,9.270337702,4.203505208,4.083950896,3.457629405,3.389541001,4.080681955,3.725655959,3.747491843,4.083950896,3.389541001,0.694409895,17.82232932,12.5329755,11.93099583,17.84323094,14.97033613,15.01997354,17.84323094,11.93099583,5.91223511,0.807963233,0.774724005,0.753151274,0.800395684,0.784621963,0.784171232,0.807963233,0.753151274,0.054811959,0.729120828,0.69254921,0.661859765,0.713582349,0.694267522,0.698275935,0.729120828,0.661859765,0.067261063,0.531617182,0.479624409,0.438058348,0.509199768,0.482007393,0.48810142,0.531617182,0.438058348,0.093558834,0.125762277,0.169233655,0.4769271,1.0338081,0.120993005,4.211058983
14240,9.316518045,12.0062004,13.19779974,9.840843023,9.311137131,11.0903403,13.19779974,9.316518045,3.881281695,3.781398732,3.190229456,2.907215989,4.105521409,3.882204151,3.573313947,4.105521409,2.907215989,1.19830542,14.71572913,10.36200225,8.019277307,17.77237011,15.74701314,13.32327839,17.77237011,8.019277307,9.753092803,0.830154875,0.768820655,0.767476309,0.823400393,0.834947628,0.804959972,0.834947628,0.767476309,0.067471319,0.739148991,0.681519012,0.698076743,0.749992005,0.758587904,0.725464931,0.758587904,0.681519012,0.077068892,0.546341231,0.464468164,0.487311139,0.562488008,0.575455608,0.52721283,0.575455608,0.464468164,0.110987444,0.130814097,0.188119366,0.5008841,1.1572743,0.125805255,3.94047619
14241,7.895950173,6.433413386,6.414831812,9.389690171,6.025151727,7.533471386,9.389690171,6.414831812,2.974858359,4.450095802,5.09469232,4.884229742,4.276712538,5.089210632,4.758988207,5.09469232,4.276712538,0.817979782,20.85247415,27.63615378,25.99919701,19.34926916,27.6221123,24.29184128,27.63615378,19.34926916,8.28688462,0.835854533,0.848190856,0.842381322,0.810750026,0.855204634,0.838476274,0.855204634,0.810750026,0.044454608,0.787582992,0.784073199,0.772684673,0.72829742,0.799348356,0.774397328,0.799348356,0.72829742,0.071050936,0.620286969,0.614770781,0.597041604,0.530417132,0.638957794,0.600294856,0.638957794,0.530417132,0.108540662,0.094851732,0.259667025,0.5036732,1.8347135,0.089815,2.06993224
14242,11.56242159,15.60189495,13.97199245,11.57316748,14.61656901,13.17736912,15.60189495,11.56242159,4.03947336,3.792263282,3.085205159,3.470048447,3.767858877,3.262259113,3.475526976,3.792263282,3.085205159,0.707058123,14.79540377,9.506601242,12.07970505,14.70323551,10.83014578,12.38301827,14.79540377,9.506601242,5.288802528,0.788227666,0.72007254,0.765527684,0.781342491,0.733215105,0.757677097,0.788227666,0.72007254,0.068155126,0.727813736,0.655274434,0.686335771,0.710837671,0.654085267,0.686869376,0.727813736,0.654085267,0.073728469,0.529712834,0.429384583,0.471056791,0.505290195,0.427827536,0.472654388,0.529712834,0.427827536,0.101885298,0.170148634,0.281843349,0.7485061,1.8210712,0.162663574,3.420962736
14243,15.42210394,11.70035457,11.67217402,11.31074463,16.20740804,12.52634429,15.42210394,11.31074463,4.11135931,3.030482571,3.588097001,3.600608006,3.749468689,2.901743299,3.374079913,3.749468689,2.901743299,0.84772539,9.242630156,13.30621146,13.32151168,14.40842001,8.322899136,11.72033449,14.40842001,8.322899136,6.085520874,0.713981649,0.773232689,0.782863187,0.800774866,0.704267262,0.755023931,0.800774866,0.704267262,0.096507604,0.629563111,0.687912815,0.711984109,0.725348378,0.630436612,0.677049005,0.725348378,0.629563111,0.095785267,0.396349711,0.473224042,0.506921371,0.526130269,0.397450322,0.460015143,0.526130269,0.396349711,0.129780558,0.188089764,0.285544698,0.7555321,1.7113141,0.180534443,3.732662534
